feature,coefficient
const,0.37720153902566544
Return,-0.03650848097491143
Return_5d,-0.1848137541405035
Return_20d,0.3787905738477438
Return_Smooth,0.6493732277974504
RSI_14,0.8234099530545569
MACD_Hist,-0.3094770227105405
Drawdown,-0.1801949954642288
VIX,-0.40136374844807404
VIX_Change,-0.00781372076181126
VIX_Change_5d,0.0783200459101857
GDP_YoY,0.05447936328249166
Core_Inflation_YoY,-0.22767862043437784
M2_YoY,-0.058263360937563125
Unemployment,-0.05926625675624029
Risk_Adj_Return_20d,-0.3016478927907477
Relative_Volume,0.053133314636412694
MACD_Hist_Accel,-0.13186616385983335
