feature,importance
Return,0.006634514
Return_5d,0.011782596
Return_20d,0.0888778
Return_Smooth,0.038786575
RSI_14,0.36040106
MACD_Hist,0.052414935
Drawdown,0.061266635
VIX,0.046302486
VIX_Change,0.008233609
VIX_Change_5d,0.015464293
GDP_YoY,0.0653713
Core_Inflation_YoY,0.07073745
M2_YoY,0.044705197
Unemployment,0.055447206
Risk_Adj_Return_20d,0.027204476
Relative_Volume,0.011227188
MACD_Hist_Accel,0.035142746
