iteration,train_logloss,val_logloss
0,0.6241712629085999,0.5873082167073134
1,0.5793427696017633,0.5589045132105274
2,0.5402501325006597,0.5323384811834748
3,0.5089789801594716,0.5093006484747525
4,0.480086606271057,0.4957731470601462
5,0.45467961351493036,0.4757264862894123
6,0.43154772029215976,0.4658780394750088
7,0.4116052827395668,0.4573828643427077
8,0.3942853625154715,0.4464056402592987
9,0.3771993259565947,0.436292201083064
10,0.36073516399483196,0.4266020854273016
11,0.3461220135822342,0.4206180543744475
12,0.3333940399726006,0.4110337675432578
13,0.32190867154779634,0.4026178897488878
14,0.3098533734367017,0.39637965077492654
15,0.29884618939831853,0.3938780401053267
16,0.28703232793222094,0.3867796809098497
17,0.27799713528789155,0.3845028139237244
18,0.2687667857641248,0.38012342127819343
19,0.2604397613018095,0.3740293966002867
20,0.2516040612575704,0.3761908383461297
21,0.2453258333599396,0.37113274792834267
22,0.23678353358528428,0.3674107976257801
23,0.22932224206703145,0.36314058762164086
24,0.2247165322372563,0.36081985648730713
25,0.21843496659725628,0.35786860128486564
26,0.21288072948664194,0.35847145710341083
27,0.20781137081642306,0.35449686942756325
28,0.2033669405427645,0.34937680250013675
29,0.198620111764533,0.34762495350595735
30,0.19478434554978527,0.3456232527204555
31,0.19134133414726504,0.3424321591758417
32,0.18750495456432956,0.33774884656695114
33,0.18308938364564462,0.3349255907650984
34,0.17809274789893112,0.33342801937995464
35,0.17415471912747968,0.33410360189131594
36,0.17080432926873487,0.3334695752339735
37,0.16413009303274026,0.33431398910072935
38,0.15978379966889572,0.3321128719391389
39,0.15771043448793617,0.32997207835859865
40,0.15419638643255562,0.3303541362427589
41,0.1506327290578404,0.3289913094811629
42,0.1480342776746759,0.3299260037606266
43,0.14394654417397265,0.3275355711701236
44,0.1389746111298419,0.32842834711047053
45,0.13605801268956633,0.3231306218225031
46,0.1341371315966998,0.3214257390878002
47,0.1300071342286835,0.32168289529685895
48,0.12721801110331976,0.3173955533793929
49,0.12470945365384978,0.31653425192989737
50,0.1231665694352738,0.312216475021091
51,0.12119697755819785,0.30954826466489177
52,0.11895670298856037,0.3068838855845803
53,0.116653281240939,0.3035150840230342
54,0.1139126214672863,0.3043368296325824
55,0.11249269291176295,0.30373857797655124
56,0.11057790755752318,0.2994708302199328
57,0.10837734501166613,0.2996266008730493
58,0.10661208280945092,0.29652029399890467
59,0.10373820166602275,0.2983751090686358
60,0.10064517859783254,0.29731895574179495
61,0.09893037797469746,0.29667852963139585
62,0.09768174381513911,0.2938045728326696
63,0.09648798844541902,0.29254284854546225
64,0.0955394076083642,0.2921014735779965
65,0.09294203818399183,0.29045526744248445
66,0.0914447686624788,0.2901327727677327
67,0.09023691965297655,0.2892764069424678
68,0.08870008206767208,0.2896151499882149
69,0.08611745889451909,0.2910399700247998
70,0.08534141821432555,0.2879802334340723
71,0.08201736915029043,0.28775471096585237
72,0.08068160096389544,0.28695047420546776
73,0.0798854213495071,0.28520036072010374
74,0.07692831918073105,0.28524553201233854
