Date,GSPC,VIX,SPY Volume,GDP,Core_Inflation,Unemployment,M2,Return,Return_5d,Return_20d,Return_Smooth,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,year,quarter,GDP_YoY,month,Core_Inflation_YoY,M2_YoY,Peak,Drawdown,VIX_Change,VIX_Change_5d,Consumer_Sentiment,Consumer_Sentiment_MoM,Consumer_Sentiment_ZScore,regime,prob_bull,prob_bear
1994-01-27,477.0499877929687,10.300000190734863,344500,10939.116,66.902,6.6,3474.9,0.0081360428711336,0.0043580293038902,0.017945486688413,0.0009893915207848,63.62796899565047,1.936171513848876,1.997185578210148,-0.0610140643612717,1994,1,0.0343070693604317,1,0.0224660716469005,0.0163200842326929,477.0499877929687,0.0,-0.8699998855590803,-0.8599996566772461,94.3,,,bull,0.5,0.5
1994-01-28,478.7000122070313,9.9399995803833,356500,10939.116,66.902,6.6,3474.9,0.0034588082093793,0.008383912571819,0.0262621924738268,6.394834454854365e-05,66.26398268823152,2.2189770413928613,2.04154387084669,0.1774331705461707,1994,1,0.0343070693604317,1,0.0205164970941318,0.0176892663640357,478.7000122070313,0.0,-0.3600006103515625,-1.1500005722045898,94.3,,,bull,0.5,0.5
1994-01-31,481.6099853515625,10.630000114440918,313800,10939.116,66.902,6.6,3474.9,0.0060789076046079,0.0204249933384039,0.0347412831414117,5.385650390917694e-05,70.34576738721736,2.647395445825623,2.162714185842477,0.4846812599831458,1994,1,0.0343070693604317,1,0.0205164970941318,0.0176892663640357,481.6099853515625,0.0,0.6900005340576172,-0.9700002670288104,94.3,,,bull,0.5,0.5
1994-02-01,479.6199951171875,10.649999618530272,303600,10939.116,67.047,6.6,3475.7,-0.0041319538524982,0.0184744360854991,0.0272654802402134,-0.0007824869002216,64.59042612990598,2.7941354825014173,2.2889984451742653,0.505137037327152,1994,1,0.0343070693604317,2,0.0227283127659898,0.0179235612827646,481.6099853515625,-0.0041319538524982,0.0199995040893536,-0.7300004959106463,93.2,,,bull,0.5,0.5
1994-02-02,482.0,10.609999656677246,307600,10939.116,67.047,6.6,3475.7,0.0049622720216886,0.0185967615510511,0.0309058123928982,-0.0008368235838846,67.96605800590004,3.067118687272341,2.4446224935938807,0.6224961936784603,1994,1,0.0343070693604317,2,0.0227283127659898,0.0179235612827646,482.0,0.0,-0.0399999618530255,-0.5600004196166974,93.2,,,bull,0.5,0.5
1994-02-03,480.7099914550781,10.75,466100,10939.116,67.047,6.6,3475.7,-0.0026763662757715,0.0076721596389555,0.0290931591024727,-0.0006439756760028,64.3833815924163,3.1431348334406835,2.584324961563241,0.5588098718774419,1994,1,0.0343070693604317,2,0.0227283127659898,0.0179235612827646,482.0,-0.0026763662757715,0.1400003433227539,0.4499998092651367,93.2,,,bull,0.5,0.5
1994-02-04,469.80999755859375,15.25,1403200,10939.116,67.047,6.6,3475.7,-0.0226747812407451,-0.0185711602710232,-0.0001915223218973,-0.0004543298415283,43.51226953348457,2.297357260110175,2.5269314212726286,-0.2295741611624535,1994,1,0.0343070693604317,2,0.0227283127659898,0.0179235612827646,482.0,-0.0252904614966934,4.5,5.310000419616699,93.2,,,bull,0.5,0.5
1994-02-07,471.760009765625,13.960000038146973,516400,10939.116,67.047,6.6,3475.7,0.0041506400825113,-0.0204521830641598,-0.0073852322452152,-0.0013041477186484,46.83282795870208,1.7640868330177,2.374362503621643,-0.6102756706039432,1994,1,0.0343070693604317,2,0.0227283127659898,0.0179235612827646,482.0,-0.0212447930173755,-1.2899999618530271,3.3299999237060547,93.2,,,bull,0.5,0.5
1994-02-08,471.0499877929687,13.65999984741211,188200,10939.116,67.047,6.6,3475.7,-0.0015050490884317,-0.017868327866783,-0.0064961446399181,-0.0018065474928697,45.77764067726866,1.2695388842516309,2.1533977797476407,-0.8838588954960098,1994,1,0.0343070693604317,2,0.0227283127659898,0.0179235612827646,482.0,-0.0227178676494425,-0.3000001907348633,3.0100002288818377,93.2,,,bull,0.5,0.5
1994-02-09,472.7699890136719,13.300000190734863,144600,10939.116,67.047,6.6,3475.7,0.0036514197330987,-0.0191494003865728,-0.0029525789788811,-0.0015622634509916,48.78783119157629,1.0048129376192492,1.9236808113219623,-0.9188678737027134,1994,1,0.0343070693604317,2,0.0227283127659898,0.0179235612827646,482.0,-0.0191494003865728,-0.3599996566772461,2.690000534057617,93.2,,,bull,0.5,0.5
