Date,GSPC,VIX,SPY Volume,GDP,Core_Inflation,Unemployment,M2,Sentiment,Return,Return_5d,Return_20d,Return_Smooth,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,GDP_YoY,Core_Inflation_YoY,M2_YoY,Peak,Drawdown,VIX_Change,VIX_Change_5d,Regime
2018-04-11,2642.18994140625,20.239999771118164,91140200.0,20150.476,101.602,4.0,14021.4,98.8,-0.005525364482924067,-0.0009452903952402725,-0.04452307863448435,0.00386415380250083,47.036976256783014,-23.198441062276743,-25.36285563230799,2.164414570031248,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.08029606852087093,-0.22999954223632457,0.18000030517578125,
2018-04-12,2663.989990234375,18.489999771118164,68890500.0,20150.476,101.602,4.0,14021.4,98.8,0.008250750063987677,0.00043183304509319953,-0.03109314882874692,0.0017464206813119876,49.85199313080072,-19.61799928196524,-24.21388436223944,4.595885080274201,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.07270782124936986,-1.75,-0.4500007629394531,
2018-04-13,2656.300048828125,17.40999984741211,85079200.0,20150.476,101.602,4.0,14021.4,98.8,-0.0028866254882486952,0.019900432221534592,-0.0331339979937908,0.0011391097849219505,48.86535134574794,-17.202685528864095,-22.811644595564374,5.6089590667002795,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.07538456648760512,-1.0799999237060547,-4.079999923706055,
2018-04-16,2677.840087890625,16.559999465942383,63405300.0,20150.476,101.602,4.0,14021.4,98.8,0.008109038386684864,0.02475170979071062,-0.026951181722379203,0.0024108537539809217,51.74617617334706,-13.396009979096561,-20.92851767227081,7.532507693174249,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.06788682444433189,-0.8500003814697266,-5.210000991821289,
2018-04-17,2706.389892578125,15.25,64682000.0,20150.476,101.602,4.0,14021.4,98.8,0.010661504701720004,0.018638387729335237,-0.0024070114433609735,3.4881086954820088e-06,55.33774015296427,-7.98343349091283,-18.339500835999214,10.356067345086384,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.05794909544061005,-1.3099994659423828,-5.219999313354489,
2018-04-18,2708.639892578125,15.600000381469728,57303900.0,20150.476,101.602,4.0,14021.4,98.8,0.0008313658006817715,0.02514957389343042,-0.003054925396631658,0.0005216751622076345,55.618103854898834,-3.4723444076812484,-15.36606955033562,11.893725142654372,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.05716590653605813,0.35000038146972834,-4.639999389648436,
2018-04-19,2693.1298828125,15.960000038146973,77655900.0,20150.476,101.602,4.0,14021.4,98.8,-0.005726124690152989,0.010938439215216977,-0.0069323505038906275,0.0008247914412786015,53.14164932920477,-1.1357102137162656,-12.51999768301175,11.384287469295485,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.06256469211736004,0.3599996566772443,-2.5299997329711914,
2018-04-20,2670.139892578125,16.8799991607666,99953100.0,20150.476,101.602,4.0,14021.4,98.8,-0.00853653230061302,0.0052101959475947535,0.010004936947259901,0.0001969136284199094,49.61517971151393,-1.1260306763006156,-10.241204281669525,9.11517360536891,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.07056713890283528,0.9199991226196289,-0.5300006866455078,
2018-04-23,2670.2900390625,16.34000015258789,65558000.0,20150.476,101.602,4.0,14021.4,98.8,5.623169212687351e-05,-0.002819454702417401,0.031693117765360546,-0.0018333544570182725,49.63868487327617,-1.0936372373921586,-8.411690872814052,7.318053635421894,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.07051487532033753,-0.5399990081787109,-0.2199993133544922,
2018-04-24,2634.56005859375,18.020000457763672,112885500.0,20150.476,101.602,4.0,14021.4,98.8,-0.01338056164164636,-0.026540829974778468,-0.009023712096354775,-0.002096922473755748,44.33789165793013,-3.9060495122512293,-7.510562600701488,3.6045130884502585,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.08295190832610708,1.6800003051757812,2.770000457763672,
2018-04-25,2639.39990234375,17.84000015258789,103840900.0,20150.476,101.602,4.0,14021.4,98.8,0.001837059563023713,-0.02556264139212372,0.010250164185782396,-0.0016777829176984882,45.191680215220856,-5.678908636289179,-7.144231807819026,1.465323171529847,0.032989628465220244,0.0188421928742617,0.037953318972217875,2872.8701171875,-0.0812672363595449,-0.18000030517578125,2.2399997711181623,
