feature,importance
Return,0.010197229
Return_5d,0.01213348
Return_20d,0.028308365
Return_Smooth,0.0762239
RSI_14,0.2375467
MACD_Hist,0.026150262
Drawdown,0.059102982
VIX,0.06840547
VIX_Change,0.0062335017
VIX_Change_5d,0.019010553
GDP_YoY,0.10894131
Core_Inflation_YoY,0.10084962
M2_YoY,0.094160974
Unemployment,0.091861695
Risk_Adj_Return_20d,0.026895655
Relative_Volume,0.013602316
MACD_Hist_Accel,0.020375995
