,accuracy,roc_auc,precision,recall
Fold 1,0.6896243291592129,0.7353445964065433,0.582010582010582,0.75
Fold 2,0.4803220035778175,0.4762522904570897,0.753061224489796,0.4451145958986731
Fold 3,0.6234347048300537,0.7155436893203884,0.5464159811985899,0.93
Fold 4,0.554561717352415,0.5590347571189279,0.65,0.6680555555555555
Fold 5,0.738819320214669,0.595296844114239,0.8197088465845465,0.8482039397450754
Mean,0.6173524150268336,0.6162944354834377,0.6702393268567028,0.7282748182398608
Std,0.09244937885550755,0.097318782561543,0.10269057089521087,0.166945558658047
