ar_coeff,seed,comparison,accuracy_diff,macro_f1_diff,bear_f1_diff,bull_f1_diff
0.5,0,PELT vs GMM,0.21328958162428213,0.0899114445745618,0.0,0.1798228891491236
0.5,0,PELT vs HMM,0.21369975389663654,0.09011006754222028,0.0,0.18022013508444057
0.5,1,PELT vs GMM,-0.4298605414273995,-0.3006310958118187,0.0,-0.6012621916236374
0.5,1,PELT vs HMM,-0.43150123051681705,-0.301432664756447,0.0,-0.602865329512894
0.5,2,PELT vs GMM,0.04347826086956519,-0.27771434187254956,-0.6031483015741508,0.04771961782905165
0.5,2,PELT vs HMM,0.21821164889253486,-0.10904186616889283,-0.4049967126890204,0.18691298035123471
0.5,3,PELT vs GMM,-0.46513535684987695,-0.31746920492721165,0.0,-0.6349384098544233
0.5,3,PELT vs HMM,-0.527481542247744,-0.34532760472610097,0.0,-0.6906552094522019
0.5,4,PELT vs GMM,0.19442165709598036,0.07629800333182973,0.0,0.15259600666365947
0.5,4,PELT vs HMM,0.17063166529942575,0.06591793015952246,0.0,0.13183586031904493
0.5,5,PELT vs GMM,0.0237899917965545,-0.27821408813248066,-0.6148055207026348,0.058377344437673506
0.5,5,PELT vs HMM,0.05947497949138636,-0.23541356750113246,-0.554354736172918,0.08352760117065294
0.5,6,PELT vs GMM,-0.03404429860541436,-0.011075978120627272,0.0,-0.022151956241254545
0.5,6,PELT vs HMM,-0.033634126333059955,-0.010945068529862045,0.0,-0.02189013705972409
0.5,7,PELT vs GMM,-0.4200164068908942,-0.29578278451761986,0.0,-0.5915655690352397
0.5,7,PELT vs HMM,-0.7050861361771944,-0.4135193649266298,0.0,-0.8270387298532595
0.5,8,PELT vs GMM,0.07054963084495491,0.06704183314817069,0.08273127510917805,0.051352391187163504
0.5,8,PELT vs HMM,0.06275635767022159,0.06013774547302819,0.07482756255932893,0.04544792838672751
0.5,9,PELT vs GMM,-0.15504511894995898,-0.0586932297873663,0.0,-0.1173864595747326
0.5,9,PELT vs HMM,-0.2764561115668581,-0.09769593385263053,0.0,-0.19539186770526107
0.7,0,PELT vs GMM,0.19237079573420846,0.035403084723651224,-0.05688282138794084,0.12768899083524332
0.7,0,PELT vs HMM,0.19237079573420846,0.035403084723651224,-0.05688282138794084,0.12768899083524332
0.7,1,PELT vs GMM,-0.4302707136997539,-0.32492358821503703,-0.036934526707608446,-0.6129126497224656
0.7,1,PELT vs HMM,-0.4315012305168171,-0.3256220257202053,-0.03711678932715896,-0.6141272621132516
0.7,2,PELT vs GMM,0.5639868744872847,0.22740618091661735,0.0,0.4548123618332347
0.7,2,PELT vs HMM,0.5529122231337161,0.2210829108678571,0.0,0.4421658217357142
0.7,3,PELT vs GMM,-0.4840032813781789,-0.3137529480730168,0.045691382765531065,-0.6731972789115647
0.7,3,PELT vs HMM,-0.48031173092698937,-0.3121243031616971,0.045691382765531065,-0.6699399890889253
0.7,4,PELT vs GMM,0.21821164889253486,0.11526675721805785,0.05547103458408573,0.17506247985202994
0.7,4,PELT vs HMM,0.19934372436423298,0.10518676501700142,0.05249436613494764,0.1578791638990552
0.7,5,PELT vs GMM,-0.045529122231337094,-0.3222011890476298,-0.6631823461091754,0.018779968013915793
0.7,5,PELT vs HMM,-0.014766201804757961,-0.2873547873754268,-0.6162858816637375,0.04157630691288405
0.7,6,PELT vs GMM,-0.03404429860541425,-0.01217816663687632,0.0,-0.02435633327375264
0.7,6,PELT vs HMM,-0.033634126333059844,-0.012034364118433005,0.0,-0.02406872823686601
0.7,7,PELT vs GMM,-0.42124692370795735,-0.32764804195525776,-0.04724398207511005,-0.6080521018354056
0.7,7,PELT vs HMM,-0.7050861361771944,-0.49584372346429195,-0.14697000221113923,-0.8447174447174447
0.7,8,PELT vs GMM,-0.027071369975389725,-0.040236434358012496,-0.06447579829187366,-0.01599707042415144
0.7,8,PELT vs HMM,0.21821164889253486,0.18245769378757815,0.12180644043207212,0.24310894714308406
0.7,9,PELT vs GMM,-0.15094339622641506,-0.057133712529133296,0.0,-0.11426742505826659
0.7,9,PELT vs HMM,-0.14315012305168162,-0.054433025516148426,0.0,-0.10886605103229685
0.9,0,PELT vs GMM,0.1632485643970467,0.016667627059252788,-0.09967320261437909,0.13300845673288464
0.9,0,PELT vs HMM,0.19401148482362585,0.014379591099927425,-0.13772893772893774,0.16648811992879253
0.9,1,PELT vs GMM,-0.06439704675963898,-0.05224126647545074,-0.028213219954758006,-0.07626931299614348
0.9,1,PELT vs HMM,-0.0894175553732568,-0.0721575290283284,-0.04050782603100683,-0.1038072320256499
0.9,2,PELT vs GMM,0.011484823625922846,-0.30210454772750633,-0.6357308584686775,0.03152176301366483
0.9,2,PELT vs HMM,0.6357670221493027,0.2692671127172461,-0.14279569892473118,0.6813299243592235
0.9,3,PELT vs GMM,-0.2502050861361772,-0.2559146569308463,0.09323966271835227,-0.6050689765800449
0.9,3,PELT vs HMM,-0.2255947497949139,-0.23147426258773535,0.1207341578300114,-0.5836826830054821
0.9,4,PELT vs GMM,0.14643150123051685,0.06039323076969333,-0.032931086561458586,0.15371754810084526
