bear_vix_mean,seed,comparison,accuracy_diff,macro_f1_diff,bear_f1_diff,bull_f1_diff
17.0,0,PELT vs GMM,-0.13781788351107466,-0.13648587011058572,-0.14501009642859022,-0.12796164379258118
17.0,0,PELT vs HMM,-0.02994257588187038,-0.03810677548608776,-0.06841738166802866,-0.007796169304146838
17.0,1,PELT vs GMM,-0.0061525840853158265,-0.005865453627474704,-0.003935190469796734,-0.007795716785152673
17.0,1,PELT vs HMM,-0.0008203445447088065,-0.000783165568751798,-0.0005216990846604874,-0.0010446320528429975
17.0,2,PELT vs GMM,0.5857260049220673,0.27000506839104155,-0.21064814814814814,0.7506582849302312
17.0,2,PELT vs HMM,0.5820344544708778,0.2724887888808145,-0.06516750803120698,0.610145085792836
17.0,3,PELT vs GMM,-0.16570959803117308,-0.1688083339045301,0.05833247910637851,-0.3959491469154386
17.0,3,PELT vs HMM,-0.07998359310910585,-0.0747721375827376,0.18192540377523025,-0.33146967894070534
17.0,4,PELT vs GMM,-0.0209187858900739,-0.08979730167481048,-0.24502032843402177,0.06542572508440081
17.0,4,PELT vs HMM,0.26168990976210005,0.18829584549416734,-0.0158992641878814,0.3924909551762161
17.0,5,PELT vs GMM,0.24241181296144376,-0.0857428133217652,-0.4972138876982426,0.3257282610547122
17.0,5,PELT vs HMM,0.2817883511074651,0.10813897677870837,0.0,0.21627795355741675
17.0,6,PELT vs GMM,0.09721082854799024,0.14782124187199153,0.24657540548809243,0.04906707825589063
17.0,6,PELT vs HMM,-0.017637407711238673,-0.00388246607154652,0.018684234643007502,-0.026449166786100542
17.0,7,PELT vs GMM,-0.1480721903199343,-0.12468397991584484,-0.043130454833688825,-0.20623750499800075
17.0,7,PELT vs HMM,-0.1940114848236259,-0.10849172832610937,0.06216592328278325,-0.279149379935002
17.0,8,PELT vs GMM,0.03199343724364234,0.03181449531960723,0.038400849267424264,0.025228141371790302
17.0,8,PELT vs HMM,0.12633305988515175,0.12229867368164937,0.13883113883113885,0.1057662085321599
17.0,9,PELT vs GMM,-0.3367514356029532,-0.38089795027771767,-0.1362875826256757,-0.6255083179297597
17.0,9,PELT vs HMM,-0.2994257588187038,-0.3369731467814986,-0.06488113775563165,-0.6090651558073654
20.0,0,PELT vs GMM,-0.03199343724364234,-0.034725549480394635,-0.04455862977602104,-0.024892469184768173
20.0,0,PELT vs HMM,0.006562756357670174,0.012851033629205422,0.024559148996930125,0.0011429182614807187
20.0,1,PELT vs GMM,-0.007793273174733439,-0.007459627407359615,-0.004906604261912584,-0.010012650552806646
20.0,1,PELT vs HMM,-0.09146841673502881,-0.0860951831721053,-0.06324153326649218,-0.10894883307771841
20.0,2,PELT vs GMM,0.5020508613617719,0.3917227335030872,0.11182748658398903,0.6716179804221855
20.0,2,PELT vs HMM,0.4384741591468416,0.34182599606032354,0.23181955101781976,0.4518324411028274
20.0,3,PELT vs GMM,0.008203445447087787,-0.016387423399778167,0.10097213539099426,-0.1337469821905506
20.0,3,PELT vs HMM,-0.25717801476620183,-0.18592063088468125,0.15859647087320344,-0.5304377326425659
20.0,4,PELT vs GMM,-0.018047579983593076,-0.08747680685093023,-0.24283891807275354,0.06788530437089313
20.0,4,PELT vs HMM,0.030762920426579188,-0.03751764044673728,-0.18473770080993612,0.10970241991646157
20.0,5,PELT vs GMM,0.24241181296144376,-0.0857428133217652,-0.4972138876982426,0.3257282610547122
20.0,5,PELT vs HMM,0.24077112387202615,-0.08738655131545753,-0.4989284183454779,0.3241553157145628
20.0,6,PELT vs GMM,0.07711238720262514,0.11711887934140108,0.19684443443900068,0.037393324243801374
20.0,6,PELT vs HMM,0.04634946677604601,0.0852413770498982,0.15691524641361665,0.013567507686179758
20.0,7,PELT vs GMM,-0.1743232157506152,-0.09271617917423353,0.07727660905607259,-0.26270896740453964
20.0,7,PELT vs HMM,-0.1936013125512715,-0.1081596261445002,0.06249211944410682,-0.2788113717331071
20.0,8,PELT vs GMM,-0.040196882690730074,-0.04062817165008159,-0.048920988720598135,-0.03233535457956482
20.0,8,PELT vs HMM,-0.03322395406070544,-0.03171869473751965,-0.03581423161251751,-0.027623157862521563
20.0,9,PELT vs GMM,-0.5467596390484004,-0.48384160801747467,-0.18106634706513924,-0.7866168689698102
20.0,9,PELT vs HMM,-0.5697292863002461,-0.5517208021225718,-0.31793081873435824,-0.7855107855107855
25.0,0,PELT vs GMM,0.14971287940935196,0.02369574663931051,-0.1063004539669877,0.15369194724560875
25.0,0,PELT vs HMM,0.3170631665299426,0.14653983826208722,-0.0664597259663233,0.3595394024904978
25.0,1,PELT vs GMM,-0.0045118949958983245,-0.004322736226610835,-0.002830741902609346,-0.005814730550612324
25.0,1,PELT vs HMM,-0.09146841673502881,-0.0860951831721053,-0.06324153326649218,-0.10894883307771841
25.0,2,PELT vs GMM,0.5131255127153405,0.4124596327755585,0.2922957329275845,0.5326235326235327
25.0,2,PELT vs HMM,0.31624282198523374,0.27197965832279636,0.2696579759698,0.2743013406757928
25.0,3,PELT vs GMM,-0.30598851517637404,-0.23818143854650675,0.0906723135825303,-0.5670351906755438
25.0,3,PELT vs HMM,-0.1271534044298605,-0.14466767772694533,0.04606108757824495,-0.33539644303213567
25.0,4,PELT vs GMM,-0.16694011484823623,-0.13020846651057777,-0.07569063939740514,-0.18472629362375037
25.0,4,PELT vs HMM,0.09310910582444626,0.06891088450706351,-0.0590614876659932,0.19688325668012024
25.0,5,PELT vs GMM,0.24241181296144376,-0.0857428133217652,-0.4972138876982426,0.3257282610547122
25.0,5,PELT vs HMM,0.28712059064807216,0.11058383026723367,0.0,0.22116766053446735
25.0,6,PELT vs GMM,0.07588187038556193,0.11528890874151365,0.19391001363429783,0.036667803848729474
