bear_std_return,seed,comparison,accuracy_diff,macro_f1_diff,bear_f1_diff,bull_f1_diff
0.01,0,PELT vs GMM,0.08244462674323216,0.17331189561290378,0.3459106752046689,0.00071311602113866
0.01,0,PELT vs HMM,-0.12264150943396235,-0.02583180838752941,0.10440420605509909,-0.15606782283015797
0.01,1,PELT vs GMM,-0.0926989335520918,-0.09159756202613112,-0.05377160360310074,-0.1294235204491615
0.01,1,PELT vs HMM,-0.0935192780968006,-0.09238159686218739,-0.05429500228708306,-0.13046819143729182
0.01,2,PELT vs GMM,0.5065627563576702,0.40731539599966765,0.10352720534270118,0.7111035866566341
0.01,2,PELT vs HMM,0.07588187038556193,-0.005061812351191519,-0.11959962012656844,0.1094759954241854
0.01,3,PELT vs GMM,-0.300656275635767,-0.2590328064129597,0.05554495318039693,-0.5736105660063164
0.01,3,PELT vs HMM,-0.12141099261689914,-0.14923600724952468,0.041013157862835325,-0.3394851723618847
0.01,4,PELT vs GMM,0.14848236259228878,0.14770653616461338,0.2845622065892507,0.010850865739976012
0.01,4,PELT vs HMM,0.14848236259228878,0.14770653616461338,0.2845622065892507,0.010850865739976012
0.01,5,PELT vs GMM,0.13986874487284662,0.11155242453202119,0.028986011672054945,0.19411883739198743
0.01,5,PELT vs HMM,0.06972928630024611,0.06067554125794361,0.04996142292707689,0.07138965958881027
0.01,6,PELT vs GMM,0.07424118129614443,0.10952653453269812,0.1822132848524679,0.03683978421292855
0.01,6,PELT vs HMM,0.03978671041837578,0.07212571961833669,0.13356982589887378,0.010681613337799822
0.01,7,PELT vs GMM,-0.11648892534864652,-0.0963439972632254,-0.05476600694881095,-0.13792198757763985
0.01,7,PELT vs HMM,-0.08572600492206728,-0.009684780862260989,0.12401754530704284,-0.14338710703156476
0.01,8,PELT vs GMM,-0.030762920426579132,-0.031179322658307806,-0.037301262766402776,-0.025057382550212726
0.01,8,PELT vs HMM,-0.019278096800656175,-0.017176224794164474,-0.017312353420275373,-0.017040096168053354
0.01,9,PELT vs GMM,-0.4991796554552912,-0.4809134068989586,-0.24518761743883688,-0.7166391963590804
0.01,9,PELT vs HMM,-0.4958982772764561,-0.4945829648070464,-0.29342771453692806,-0.6957382150771648
0.014,0,PELT vs GMM,0.18826907301066442,0.12622774932772085,0.03288894822114477,0.21956655043429685
0.014,0,PELT vs HMM,-0.14561115668580804,-0.1652666443084978,-0.22295178834712243,-0.10758150026987323
0.014,1,PELT vs GMM,0.07013945857260051,0.06909820399297795,0.04086852000462571,0.0973278879813303
0.014,1,PELT vs HMM,-0.0914684167350287,-0.08620422168715303,-0.06338223925351272,-0.10902620412079334
0.014,2,PELT vs GMM,0.4811320754716981,0.38466687188873466,0.08069105785330963,0.6886426859241597
0.014,2,PELT vs HMM,0.4749794913863823,0.3745972452478418,0.09483877010634675,0.6543557203893369
0.014,3,PELT vs GMM,-0.30639868744872845,-0.24492716642760087,0.08113895828794715,-0.5709932911431489
0.014,3,PELT vs HMM,-0.1230516817063167,-0.14258759142787047,0.05041828275914517,-0.3355934656148861
0.014,4,PELT vs GMM,0.0799835931091058,0.06506942319678424,0.016692415971435448,0.11344643042213304
0.014,4,PELT vs HMM,-0.34864643150123054,-0.3610484937693522,-0.42799267495421844,-0.2941043125844859
0.014,5,PELT vs GMM,0.21739130434782616,-0.08189597578644836,-0.42199108469539376,0.2581991331224971
0.014,5,PELT vs HMM,0.18744872846595573,-0.1112993279926262,-0.45245245245245247,0.22985379646720017
0.014,6,PELT vs GMM,-0.008613617719442135,-0.008441667719766177,-0.008954704271425085,-0.007928631168107159
0.014,6,PELT vs HMM,0.041837571780147687,0.07539152387006509,0.13924581969005612,0.011537228050074066
0.014,7,PELT vs GMM,-0.08449548810500418,-0.0710038320235058,-0.0384592644187316,-0.10354839962828011
