seed,comparison,accuracy_diff,macro_f1_diff,bear_f1_diff,bull_f1_diff
0,PELT vs GMM,-0.08449548810500407,-0.15587656114456677,-0.30322600995166116,-0.008527112337472276
0,PELT vs HMM,0.019278096800656286,-0.04274644434136016,-0.15355209588774443,0.06805920720502412
1,PELT vs GMM,0.0705496308449548,0.06941622535093339,0.04098711982500969,0.09784533087685698
1,PELT vs HMM,-0.09146841673502881,-0.0860951831721053,-0.06324153326649218,-0.10894883307771841
2,PELT vs GMM,0.5118949958982772,0.4111220327524558,0.2904401321664514,0.5318039333384602
2,PELT vs HMM,0.31706316652994254,0.2741157332054702,0.2742396905441645,0.2739917758667759
3,PELT vs GMM,-0.3121410992616899,-0.24813067200094946,0.07751303851569202,-0.5737743825175909
3,PELT vs HMM,-0.18375717801476615,-0.13567874478055936,0.1937814789377289,-0.46513896849884756
4,PELT vs GMM,-0.13740771123872025,-0.1464583327402254,-0.18514905710648627,-0.1077676083739646
4,PELT vs HMM,-0.13453650533223954,-0.14298680881378834,-0.1795690681015385,-0.10640454952603828
5,PELT vs GMM,0.28301886792452835,0.13370367297083197,-0.07427481959788418,0.3416821655395482
5,PELT vs HMM,0.27809680065627573,0.13141306616863546,-0.056199559086720974,0.31902569142399195
6,PELT vs GMM,0.07588187038556193,0.11528890874151365,0.19391001363429783,0.036667803848729474
6,PELT vs HMM,0.04634946677604601,0.0852413770498982,0.15691524641361665,0.013567507686179758
7,PELT vs GMM,-0.038966365873666864,-0.026988154635475547,0.008752180647070396,-0.0627284899180216
7,PELT vs HMM,-0.002050861361771905,-0.0018824928447931377,-0.001228169134002477,-0.0025368165555837985
8,PELT vs GMM,-0.03404429860541425,-0.03425912925459684,-0.04101144304750559,-0.027506815461688094
8,PELT vs HMM,-0.08203445447087776,-0.08433781289288733,-0.10413309997698283,-0.0645425258087916
9,PELT vs GMM,-0.5209187858900739,-0.4627841562404251,-0.16055864926759417,-0.765009663213256
9,PELT vs HMM,-0.5217391304347827,-0.5182526539512341,-0.3038750188443088,-0.7326302890581595
