ar_coeff,seed,model,accuracy,macro_f1,bear_f1,bull_f1
0.95,6,GMM,0.6915504511894995,0.5761823082577799,0.35506003430531735,0.7973045822102426
0.95,6,Changepoint,0.6853978671041837,0.5714862865922895,0.3505503810330229,0.7924221921515562
0.95,7,HMM,0.6300246103363413,0.507506514843272,0.2618657937806874,0.7531472359058566
0.95,7,GMM,0.6341263330598852,0.5102883104904377,0.264026402640264,0.7565502183406113
0.95,7,Changepoint,0.5594749794913864,0.46055590670445345,0.22955523672883787,0.691556576680069
0.95,8,HMM,0.6747333880229697,0.6441248686867237,0.5397562391178178,0.7484934982556296
0.95,8,GMM,0.6890894175553732,0.6674433503210389,0.5825991189427313,0.7522875816993464
0.95,8,Changepoint,0.7698933552091879,0.7053578410685306,0.5674633770239013,0.8432523051131601
0.95,9,HMM,0.5639868744872847,0.43893269666465545,0.17404817404817405,0.7038172192811368
0.95,9,GMM,0.6894995898277276,0.5169933485911392,0.22833843017329256,0.8056482670089858
0.95,9,Changepoint,0.5311730926989335,0.4305110807425542,0.1910828025477707,0.6699393589373376
0.99,0,HMM,0.5602953240360952,0.5502702643173323,0.4831243972999036,0.6174161313347609
0.99,0,GMM,0.6439704675963905,0.6317571729762501,0.5646940822467402,0.6988202637057599
0.99,0,Changepoint,0.4159146841673503,0.339343673310315,0.11442786069651742,0.5642594859241126
0.99,1,HMM,0.6628383921246924,0.6525261450306237,0.5926660059464817,0.7123862841147656
0.99,1,GMM,0.5849056603773585,0.5811781609195402,0.5416666666666666,0.6206896551724138
0.99,1,Changepoint,0.4278096800656276,0.42554727819830807,0.4615978386723273,0.38949671772428884
0.99,2,HMM,0.22682526661197702,0.22627528802773378,0.20564686051411715,0.24690371554135038
0.99,2,GMM,0.17063166529942575,0.16512505419466725,0.2329286798179059,0.09732142857142857
0.99,2,Changepoint,0.6210008203445447,0.504025109709669,0.2631578947368421,0.7448923246824959
0.99,3,HMM,0.448318293683347,0.4036848819457515,0.24054206662902314,0.5668276972624798
0.99,3,GMM,0.5951599671862182,0.5445082459834844,0.3926153846153846,0.6964011073515841
0.99,3,Changepoint,0.35520918785890077,0.3332957581830327,0.45416666666666666,0.2124248496993988
0.99,4,HMM,0.45775225594749797,0.40305304489554006,0.2223529411764706,0.5837531486146096
0.99,4,GMM,0.46185397867104183,0.40291143247973527,0.215311004784689,0.5905118601747815
0.99,4,Changepoint,0.3113207547169811,0.2938946776479152,0.1829683698296837,0.40482098546614675
0.99,5,HMM,0.47374897456931914,0.32145839131644866,0.0,0.6429167826328973
0.99,5,GMM,0.5082034454470877,0.4347230228633453,0.23091725465041693,0.6385287910762737
0.99,5,Changepoint,0.7850697292863003,0.6347615665851285,0.40045766590389015,0.8690654672663668
0.99,6,HMM,0.7424118129614438,0.6593265851220722,0.49108589951377635,0.827567270730368
0.99,6,GMM,0.7132895816242822,0.6246024170750893,0.4421388667198723,0.8070659674303063
0.99,6,Changepoint,0.7530762920426579,0.732773757979411,0.6591166477916195,0.8064308681672026
0.99,7,HMM,0.5808039376538146,0.5695621468926554,0.5,0.6391242937853108
0.99,7,GMM,0.5500410172272354,0.5302020449185055,0.43366029943211154,0.6267437904048996
0.99,7,Changepoint,0.47087776866283837,0.47053535353535353,0.45707070707070707,0.484
0.99,8,HMM,0.8195242001640689,0.7819541841982235,0.6914446002805049,0.8724637681159421
0.99,8,GMM,0.8293683347005743,0.7945212029268442,0.7099023709902371,0.8791400348634515
0.99,8,Changepoint,0.8769483182936834,0.8389691914641783,0.7607655502392344,0.9171728326891221
0.99,9,HMM,0.6673502871205906,0.6407850261841932,0.5430985915492957,0.7384714608190907
0.99,9,GMM,0.6394585726004922,0.5563895066240321,0.3644251626898048,0.7483538505582594
0.99,9,Changepoint,0.24774405250205087,0.1985535831689678,0.3971071663379356,0.0
