bear_vix_mean,seed,model,accuracy,macro_f1,bear_f1,bull_f1
17.0,0,HMM,0.36915504511895,0.3583758214424807,0.27521206409048066,0.44153957879448075
17.0,0,GMM,0.47703035274815425,0.45675491606697866,0.3518047788510422,0.5617050532829151
17.0,0,Changepoint,0.3392124692370796,0.32026904595639294,0.206794682422452,0.4337434094903339
17.0,1,HMM,0.6214109926168991,0.6197938587457801,0.5949978060552874,0.6445899114362726
17.0,1,GMM,0.6267432321575062,0.624876146804503,0.5984112974404237,0.6513409961685823
17.0,1,Changepoint,0.6205906480721903,0.6190106931770283,0.5944761069706269,0.6435452793834296
17.0,2,HMM,0.16447908121410992,0.15494192976643775,0.06516750803120698,0.2447163515016685
17.0,2,GMM,0.16078753076292043,0.15742565025621066,0.21064814814814814,0.1042031523642732
17.0,2,Changepoint,0.7465135356849877,0.42743071864725224,0.0,0.8548614372945045
17.0,3,HMM,0.43560295324036097,0.40671194114318054,0.27578947368421053,0.5376344086021505
17.0,3,GMM,0.5213289581624282,0.500748137464973,0.3993823983530623,0.6021138765768838
17.0,3,Changepoint,0.3556193601312551,0.33193980356044295,0.4577148774594408,0.20616472966144517
17.0,4,HMM,0.26210008203445445,0.2620850601550577,0.2654144548795427,0.2587556654305727
17.0,4,GMM,0.5447087776866284,0.5401782073240355,0.49453551912568305,0.585820895522388
17.0,4,Changepoint,0.5237899917965545,0.45038090564922506,0.24951519069166128,0.6512466206067888
17.0,5,HMM,0.47949138638228056,0.32409204324923757,0.0,0.6481840864984751
17.0,5,GMM,0.5188679245283019,0.5179738333497111,0.4972138876982426,0.5387337790011797
17.0,5,Changepoint,0.7612797374897456,0.43223102002794594,0.0,0.8644620400558919
17.0,6,HMM,0.8576702214930271,0.8352716495285984,0.774528914879792,0.8960143841774049
17.0,6,GMM,0.7428219852337982,0.6835679415850604,0.5466377440347071,0.8204981391354137
17.0,6,Changepoint,0.8400328137817884,0.8313891834570519,0.7932131495227995,0.8695652173913043
