iteration,train_logloss,val_logloss
0,0.6283752595071662,0.5933572291388836
1,0.5872353385239814,0.5696499513008109
2,0.55211536875625,0.5494823802515839
3,0.5237961120441553,0.5295289542346847
4,0.4977685657873694,0.5147219896069412
5,0.4764362109567243,0.4999306384307235
6,0.4560186195318473,0.48499424021635484
7,0.43722507229472246,0.47502375906873895
8,0.4182065865072905,0.4623837076732966
9,0.40272368593672536,0.4560636000500785
10,0.38668911373992226,0.4467983491607566
11,0.3744522852978331,0.4413023698537504
12,0.36201316640800174,0.4343625575081626
13,0.34954452806371294,0.4298945212023175
14,0.3399836985716326,0.41935786401627473
15,0.32837606948891546,0.41579376996354284
16,0.3206979495966746,0.4115896110066134
17,0.3094133635114916,0.40954075431201
18,0.3009558388528868,0.404284022433396
19,0.29228342958105713,0.40537297062785865
20,0.285517785440734,0.40151940322609286
21,0.27828209118037056,0.39592444761401385
22,0.27093617801006364,0.39332806967062933
23,0.2642359651306167,0.38833198925576007
24,0.25847894194285914,0.3872671096800374
25,0.25173084008998653,0.3825566491720639
26,0.24696400760346882,0.37447238673655253
27,0.24144419524960947,0.37331499547618835
28,0.23561455746313503,0.3737876970802818
29,0.228769318736543,0.3677120382494446
30,0.2194118521909722,0.3650086488092865
31,0.21516815946697343,0.362360810304978
32,0.21047285623480474,0.36105318827427935
33,0.20702560245692941,0.3574658615273697
34,0.20197397170048673,0.35527660619238915
35,0.19882532513521242,0.3529976925628868
36,0.1955532547470985,0.35163499344183535
37,0.18990797986805724,0.34917076379616757
38,0.18749152904508418,0.3442476344608376
39,0.18347389496175276,0.3419827625084403
40,0.18063619557015637,0.341056231818599
41,0.17646617455870248,0.34224247774433586
42,0.1728491961546037,0.3411771435163928
43,0.16848409668965833,0.3385537175359714
44,0.16264258489458774,0.3382875282413158
45,0.15988455487815253,0.33537777585238465
46,0.15474343066728996,0.3354545776997917
47,0.1499513681835865,0.33752351306428263
48,0.14783032619963346,0.3354187894575483
49,0.14568759241909235,0.33338501432039475
50,0.14370748009926462,0.3328719516253874
51,0.1419805038371599,0.33026180031537933
52,0.1400483522533068,0.3299217558161635
53,0.13842705910897016,0.32899140846988134
54,0.13452019516074543,0.33358411886845135
55,0.13280590634412837,0.33313129952634574
56,0.13058968189508807,0.33192708102637164
57,0.12865283036770636,0.3306959904205196
58,0.12579250588340873,0.32875127211030863
59,0.12401148976354753,0.32868713544253847
60,0.12143753739465164,0.32598026760909427
61,0.11856121041268994,0.3286794802038058
62,0.11750181893531685,0.32886608616313023
63,0.11524688793712097,0.32946918432478783
64,0.11376758810819529,0.329063196302041
65,0.11065913548930152,0.32949452945896135
66,0.10818242237466884,0.33070578621345176
67,0.1066470246619005,0.3308533457541069
68,0.10499107711806167,0.3307082078857486
69,0.10351404931795727,0.3296263512431692
70,0.10235564321494033,0.3294288609404685
71,0.10146751182044127,0.3311045222902581
72,0.10031388236824731,0.33074062542061616
73,0.09888863227242294,0.33129821000134213
74,0.09805073317705852,0.3317543544345512
75,0.09703600777624657,0.33102716904042434
76,0.09466380569151542,0.3298230930953557
77,0.09237290662295586,0.33100549758401904
78,0.09130581736307856,0.32884833421021437
79,0.08929445100639236,0.33022453999675805
80,0.08791288668338175,0.33014078050925955
81,0.08648634851114935,0.3296153684576068
82,0.08533085265916902,0.33038416889571054
83,0.08356035997750108,0.3318102597842027
84,0.08219592108009945,0.3314337509156824
85,0.08091064553302814,0.3308858529193123
86,0.07981438298171066,0.3304992041362922
87,0.07902007256991907,0.33019921787092416
88,0.07835254772073381,0.33065245374183866
89,0.07662324905425702,0.3281681743028819
90,0.07519486938514872,0.32918029203435645
91,0.07400578335012145,0.32846334767581936
92,0.07306929643180779,0.3291561941917025
93,0.07146346153796307,0.33296508535184427
94,0.07082942320731035,0.3328195264208506
95,0.07008928026370162,0.3337840838969807
96,0.06925615686914166,0.33429739898079186
97,0.06798988200165852,0.3339707838395722
98,0.06731732299911719,0.33443639129145414
99,0.06655794509282541,0.33379725893865964
100,0.06599069269073761,0.33106110867492816
101,0.06539858254531822,0.32947602300087275
102,0.06446623482413119,0.3275713642358712
103,0.06397480877683984,0.3266546048338264
104,0.06347329582693122,0.3265191092156646
105,0.06258522923755762,0.32539999739527176
106,0.06161031305664432,0.32479939124818
107,0.06101532794568477,0.32632322846203315
108,0.05967668780013957,0.3285948307554401
109,0.05888106186039946,0.32866460545392784
110,0.05824772378065241,0.32798358220352203
111,0.05726681590119514,0.32691917688721733
112,0.05687261997451225,0.3269179936322333
113,0.05651266758167011,0.3273865940712646
114,0.05601724377306305,0.3271489221290693
115,0.05538650861145501,0.3282826359060965
116,0.05436781944699094,0.32880910915377815
117,0.05402735128752566,0.3288776472278069
118,0.05317511346271846,0.32904355609858993
119,0.05220482637613534,0.33084896534990604
120,0.05162070090826434,0.33011950325666023
121,0.05130370664367172,0.3301519399977391
122,0.05080893207390447,0.3309865791540188
123,0.04970454608503249,0.3293668173297361
124,0.04910261991987408,0.3285028033913094
125,0.04845913090460007,0.3290113576520007
