feature,importance
Return,0.007965289
Return_5d,0.022023164
Return_20d,0.06520049
Return_Smooth,0.058531273
RSI_14,0.35235712
MACD_Hist,0.045105856
Drawdown,0.05620084
VIX,0.04474804
VIX_Change,0.0065826895
VIX_Change_5d,0.010763735
GDP_YoY,0.071927026
Core_Inflation_YoY,0.0646823
M2_YoY,0.047849834
Unemployment,0.060107317
Risk_Adj_Return_20d,0.039380483
Relative_Volume,0.009684066
MACD_Hist_Accel,0.036890455
