feature,coefficient
const,0.5135572064710563
Return,-0.12417703629733981
Return_5d,-0.2602943618982813
Return_20d,0.42430132377602764
Return_Smooth,0.8742354339587514
RSI_14,2.416938309295401
MACD_Hist,-1.07846577234616
Drawdown,-0.19879500581504453
VIX,-0.6694855859921377
VIX_Change,0.031801479991359405
VIX_Change_5d,0.07984932683074626
GDP_YoY,0.01338455992926897
Core_Inflation_YoY,-0.26425932804234203
M2_YoY,0.06629136595486121
Unemployment,-0.20134447709972844
Risk_Adj_Return_20d,-0.46766903564643336
Relative_Volume,0.05511695283339569
MACD_Hist_Accel,-0.4164446073670449
